# arch=ppc sdk=/Developer/SDKs/MacOSX10.5.sdk cc=/usr/bin/gcc-4.0 inode64=True
F	lconv	int_frac_digits	40	1
F	lconv	frac_digits	41	1
F	lconv	p_cs_precedes	42	1
F	lconv	p_sep_by_space	43	1
F	lconv	n_cs_precedes	44	1
F	lconv	n_sep_by_space	45	1
F	lconv	p_sign_posn	46	1
F	lconv	n_sign_posn	47	1
F	lconv	int_p_cs_precedes	48	1
F	lconv	int_n_cs_precedes	49	1
F	lconv	int_p_sep_by_space	50	1
F	lconv	int_n_sep_by_space	51	1
F	lconv	int_p_sign_posn	52	1
F	lconv	int_n_sign_posn	53	1
S	proc_taskinfo	struct proc_taskinfo	96	8
F	proc_taskinfo	pti_virtual_size	0	8
F	proc_taskinfo	pti_resident_size	8	8
F	proc_taskinfo	pti_total_user	16	8
F	proc_taskinfo	pti_total_system	24	8
F	proc_taskinfo	pti_threads_user	32	8
F	proc_taskinfo	pti_threads_system	40	8
F	proc_taskinfo	pti_policy	48	4
F	proc_taskinfo	pti_faults	52	4
F	proc_taskinfo	pti_pageins	56	4
F	proc_taskinfo	pti_cow_faults	60	4
F	proc_taskinfo	pti_messages_sent	64	4
F	proc_taskinfo	pti_messages_received	68	4
F	proc_taskinfo	pti_syscalls_mach	72	4
F	proc_taskinfo	pti_syscalls_unix	76	4
F	proc_taskinfo	pti_csw	80	4
F	proc_taskinfo	pti_threadnum	84	4
F	proc_taskinfo	pti_numrunning	88	4
F	proc_taskinfo	pti_priority	92	4
S	proc_bsdinfo	struct proc_bsdinfo	128	4
F	proc_bsdinfo	pbi_flags	0	4
F	proc_bsdinfo	pbi_status	4	4
F	proc_bsdinfo	pbi_xstatus	8	4
F	proc_bsdinfo	pbi_pid	12	4
F	proc_bsdinfo	pbi_ppid	16	4
F	proc_bsdinfo	pbi_uid	20	4
F	proc_bsdinfo	pbi_gid	24	4
F	proc_bsdinfo	pbi_ruid	28	4
F	proc_bsdinfo	pbi_rgid	32	4
F	proc_bsdinfo	pbi_svuid	36	4
F	proc_bsdinfo	pbi_svgid	40	4
F	proc_bsdinfo	pbi_comm	44	17
F	proc_bsdinfo	pbi_name	61	33
F	proc_bsdinfo	pbi_nfiles	96	4
F	proc_bsdinfo	pbi_pgid	100	4
F	proc_bsdinfo	pbi_pjobc	104	4
F	proc_bsdinfo	e_tdev	108	4
F	proc_bsdinfo	e_tpgid	112	4
F	proc_bsdinfo	pbi_nice	124	4
S	proc_taskallinfo	struct proc_taskallinfo	224	4
F	proc_taskallinfo	pbsd	0	128
F	proc_taskallinfo	ptinfo	128	96
S	xsw_usage	struct xsw_usage	32	8
F	xsw_usage	xsu_total	0	8
F	xsw_usage	xsu_avail	8	8
F	xsw_usage	xsu_used	16	8
F	xsw_usage	xsu_pagesize	24	4
F	xsw_usage	xsu_encrypted	28	4
S	xucred	struct xucred	76	4
F	xucred	cr_version	0	4
F	xucred	cr_uid	4	4
F	xucred	cr_ngroups	8	2
F	xucred	cr_groups	12	64
S	mach_header	struct mach_header	28	4
F	mach_header	magic	0	4
F	mach_header	cputype	4	4
F	mach_header	cpusubtype	8	4
F	mach_header	filetype	12	4
F	mach_header	ncmds	16	4
F	mach_header	sizeofcmds	20	4
F	mach_header	flags	24	4
S	mach_header_64	struct mach_header_64	32	4
F	mach_header_64	magic	0	4
F	mach_header_64	cputype	4	4
F	mach_header_64	cpusubtype	8	4
F	mach_header_64	filetype	12	4
F	mach_header_64	ncmds	16	4
F	mach_header_64	sizeofcmds	20	4
F	mach_header_64	flags	24	4
F	mach_header_64	reserved	28	4
S	segment_command	struct segment_command	56	4
F	segment_command	cmd	0	4
F	segment_command	cmdsize	4	4
F	segment_command	segname	8	16
F	segment_command	vmaddr	24	4
F	segment_command	vmsize	28	4
F	segment_command	fileoff	32	4
F	segment_command	filesize	36	4
F	segment_command	maxprot	40	4
F	segment_command	initprot	44	4
